category,field_label,description,data_type,example_value,notes
Current_Outlook,accountability_preferences,"Preferred methods of accountability",text,"Daily check-ins, Weekly reports","Comma-separated"
Current_Outlook,communication_style,"Preferred communication style",text,"Brief updates, Detailed discussions",""
Personal_Preferences,time_constraints,"User's time constraints",text,"Works full-time, Limited evenings",""
Personal_Preferences,personality_traits,"User's personality traits",text,"Introverted, High risk tolerance","Comma-separated"
Personal_Preferences,technology_preferences,"Preferred technology platforms or tools",text,"Uses iPhone, Prefers Slack for communication",""
Initial_Routines,morning_start,"Details of morning start",text,"Wake at 6am, Coffee, Quick workout",""
Initial_Routines,work_period,"Details of work period",text,"Focused work from 9am-12pm, Meetings 1pm-2pm",""
Initial_Routines,evening_wind_down,"Details of evening wind-down",text,"Read book, No screens after 9pm",""
Initial_Routines,weekly_highlights,"Weekly regular activities",text,"Yoga on Tuesdays, Team meetings on Thursdays","Comma-separated"
Future_Vision,start_goals,"User's initial goals or intentions",text,"Get fitter, Change job",""
Future_Vision,project_interests,"Interests in new projects",text,"Start a blog, Learn Spanish","Comma-separated"
Future_Vision,willingness_to_commit,"Time or effort user can dedicate",text,"2 hours per day, 10 hours per week",""
Logistics,dependencies,"Dependencies for tasks or goals",text,"Requires mentor's guidance","Comma-separated"
Logistics,ownership_structures,"Ownership details for projects or businesses",text,"Owns 50% of side business","Optional"
Logistics,support_network,"Support network details",text,"Friends, Family, Mentor","Comma-separated"
Shareholders,stakeholders,"List of stakeholders involved",text,"Spouse, Business partner","Comma-separated"
Shareholders,ownership_percentage,"Ownership percentages for stakeholders",float,50.00,"In alignment with stakeholders"
Shareholders,specific_rights,"Specific rights or roles of stakeholders",text,"Decision-making authority","Optional"
